/usr/local/mysql/bin/mysqld, Version: 5.7.14 (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2016-08-25T16:34:56.973950Z	 1010 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:34:56.974364Z	 1010 Query	SET NAMES latin1
2016-08-25T16:34:56.974498Z	 1010 Query	SET character_set_results = NULL
2016-08-25T16:34:56.974644Z	 1010 Query	SET autocommit=1
2016-08-25T16:34:56.975882Z	 1011 Connect	root@localhost on election using TCP/IP
2016-08-25T16:34:56.976118Z	 1011 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:34:56.976494Z	 1011 Query	SET NAMES latin1
2016-08-25T16:34:56.976617Z	 1011 Query	SET character_set_results = NULL
2016-08-25T16:34:56.976768Z	 1011 Query	SET autocommit=1
2016-08-25T16:34:57.440988Z	 1011 Quit	
2016-08-25T16:34:57.441471Z	 1010 Quit	
2016-08-25T16:34:57.441472Z	 1009 Quit	
2016-08-25T16:34:57.441556Z	 1008 Quit	
2016-08-25T16:34:57.441582Z	 1007 Quit	
2016-08-25T16:34:57.441623Z	 1006 Quit	
2016-08-25T16:34:57.441658Z	 1005 Quit	
2016-08-25T16:34:57.441687Z	 1004 Quit	
2016-08-25T16:34:57.441729Z	 1003 Quit	
2016-08-25T16:34:57.441769Z	 1002 Quit	
2016-08-25T16:36:01.082304Z	 1012 Connect	root@localhost on election using TCP/IP
2016-08-25T16:36:01.085992Z	 1012 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:36:01.101945Z	 1012 Query	SET NAMES latin1
2016-08-25T16:36:01.102130Z	 1012 Query	SET character_set_results = NULL
2016-08-25T16:36:01.102440Z	 1012 Query	SET autocommit=1
2016-08-25T16:36:01.104389Z	 1013 Connect	root@localhost on election using TCP/IP
2016-08-25T16:36:01.104600Z	 1013 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:36:01.105067Z	 1013 Query	SET NAMES latin1
2016-08-25T16:36:01.105173Z	 1013 Query	SET character_set_results = NULL
2016-08-25T16:36:01.105285Z	 1013 Query	SET autocommit=1
2016-08-25T16:36:01.106440Z	 1014 Connect	root@localhost on election using TCP/IP
2016-08-25T16:36:01.106645Z	 1014 Query	/* mysql-connector-java-5.1.39 ( Revision: 3289a357af6d09ecc1a10fd3c26e95183e5790ad ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout
2016-08-25T16:36:01.107043Z	 1014 Query	SET NAMES latin1
2016-08-25T16:36:01.107149Z	 1014 Query	SET character_set_results = NULL
2016-08-25T16:36:01.107250Z	 1014 Query	SET autocommit=1
2016-08-25T16:36:01.108255Z	 1015 Connect	root@localhost on election using TCP/IP
